Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,HDD,SSD,Price
Lenovo,2 in 1 Convertible,16,1.36,1,0,209.8006829,0,512,133146.72
Toshiba,Notebook,8,2.2,0,0,100.4546699,500,0,43263.36
Dell,Notebook,12,2.3,0,0,100.4546699,1000,0,37992.3696
Dell,Notebook,8,2.8,0,0,127.3356746,1000,128,58554.72
Acer,Notebook,8,2.2,0,1,141.2119981,1000,0,39693.6
Lenovo,Notebook,4,2.8,0,0,106.1130621,1000,0,26053.92
Lenovo,Notebook,8,2.8,0,0,127.3356746,2000,0,45234.72
Lenovo,Notebook,6,2.8,0,0,106.1130621,1000,128,45767.52
Dell,Notebook,4,2.25,0,0,141.2119981,1000,0,22803.84
Lenovo,Gaming,8,2.5,0,1,141.2119981,0,256,44169.12
Lenovo,Notebook,6,2.2,0,0,141.2119981,0,256,30849.12
Acer,Notebook,8,3.0,0,1,141.2119981,0,256,50669.28
Acer,Notebook,12,2.15,1,1,141.2119981,1000,0,35111.52
Lenovo,Notebook,8,1.95,0,1,141.2119981,0,256,58448.16
Asus,Ultrabook,8,1.7,0,0,141.2119981,0,256,52054.56
Lenovo,Gaming,16,2.5,0,1,141.2119981,1000,256,62817.12
Lenovo,Notebook,8,2.2,0,0,141.2119981,1000,0,35112.0528
Acer,Notebook,2,2.19,0,0,100.4546699,0,16,10602.72
Asus,Gaming,8,3.0,0,0,127.3356746,1000,0,63243.36
HP,Notebook,8,2.54,0,0,106.1130621,1000,0,26053.92
Dell,Notebook,8,2.0,0,0,141.2119981,0,256,97449.12
Lenovo,Notebook,8,2.05,0,0,141.2119981,0,256,39373.92
Lenovo,Gaming,8,3.2,0,1,141.2119981,1000,0,69210.72
Acer,Notebook,8,2.5,0,0,141.2119981,0,256,52161.12
Dell,Workstation,16,3.42,0,0,127.3356746,0,256,153705.3408
Lenovo,Notebook,6,2.4,0,0,141.2119981,1000,0,26586.72
Asus,Ultrabook,16,1.63,0,0,141.2119981,0,512,78215.04
Asus,Notebook,4,1.3,0,0,111.9352036,0,128,27119.52
Asus,Gaming,16,2.9,0,0,127.3356746,1000,256,113060.16
Lenovo,Notebook,6,2.8,0,0,106.1130621,1000,0,34578.72
Lenovo,Notebook,8,2.2,0,0,100.4546699,2000,0,29250.72
Asus,Gaming,8,2.5,0,0,141.2119981,1000,128,67399.2
Lenovo,Notebook,4,2.2,0,0,100.4546699,1000,0,19180.2672
HP,2 in 1 Convertible,16,1.28,1,0,165.6321181,0,256,105228.0
Toshiba,Notebook,8,2.2,0,1,141.2119981,0,256,55571.04
Lenovo,Notebook,8,2.3,0,0,141.2119981,1000,128,43636.32
HP,Notebook,4,1.86,0,0,141.2119981,1000,0,24988.32
Lenovo,Notebook,8,1.1,0,1,165.6321181,0,256,53226.72
Dell,Ultrabook,16,1.21,1,1,331.2642361,0,1000,133146.72
MSI,Gaming,16,2.8,0,1,141.2119981,1000,256,111834.72
Acer,Notebook,8,2.23,0,0,141.2119981,0,256,24988.32
Asus,2 in 1 Convertible,2,1.1,1,0,135.0942112,0,0,14652.0
Dell,Notebook,8,2.33,0,0,141.2119981,1000,128,44968.32
HP,2 in 1 Convertible,16,1.29,1,1,331.2642361,0,1000,130482.72
Lenovo,Notebook,4,1.45,0,0,117.8265301,0,0,24503.472
HP,Notebook,8,1.95,0,0,157.3505121,0,256,52214.4
Acer,Notebook,4,1.4,0,0,135.0942112,0,0,25840.8
HP,Notebook,8,1.48,0,0,157.3505121,0,256,68837.76
Lenovo,Notebook,4,2.79,0,0,106.1130621,1000,0,31381.92
Asus,Notebook,8,2.0,0,0,157.3505121,0,256,58288.32
HP,Notebook,8,2.1,0,1,100.4546699,1000,0,48058.56
Acer,Notebook,8,2.2,0,0,100.4546699,0,256,35111.52
Lenovo,Notebook,4,1.44,0,0,111.9352036,0,0,15557.76
Acer,Notebook,6,2.23,0,0,100.4546699,1000,0,29250.72
Asus,Ultrabook,8,1.7,0,0,141.2119981,0,256,55938.672
HP,Ultrabook,8,1.26,0,0,176.2325736,0,256,71128.8
Dell,Notebook,32,2.06,1,0,282.4239962,0,1000,140605.92
MSI,Gaming,8,2.7,0,0,127.3356746,1000,256,63882.72
Toshiba,Notebook,8,2.0,0,1,141.2119981,0,256,50243.04
Asus,Notebook,8,2.0,0,0,157.3505121,1000,256,71075.52
Lenovo,Notebook,4,1.85,0,0,141.2119981,1000,0,23922.72
Asus,Gaming,8,2.5,0,0,141.2119981,0,256,53226.72
HP,Notebook,8,1.48,0,0,157.3505121,0,256,67559.04
Dell,Ultrabook,8,1.9,0,1,141.2119981,1000,128,55890.72
HP,Notebook,8,1.84,0,0,141.2119981,0,256,60952.32
